gene1,gene2,gene1_valid,gene2_valid,string_interaction_found,string_combined_score,string_evidence_breakdown,string_source_url,string_curated_overlap_risk,biogrid_interaction_found,biogrid_evidence_count,biogrid_experimental_systems,biogrid_pubmed_ids,biogrid_source_url,tissue,gene1_tissue_expression,gene2_tissue_expression,verdict,notes
FANCB,XRCC2,True,True,True,0.52,textmining=0.475; coexpression=0.123,https://string-db.org/cgi/network?identifiers=FANCB%0dXRCC2&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=FANCB%20XRCC2,bone marrow,expressed (nTPM=2.3),expressed (nTPM=5.5),discordant,Only StringDB reports evidence; the other source does not.
EFL1,RPS24,True,True,True,0.817,experimental=0.749; coexpression=0.252; textmining=0.107,https://string-db.org/cgi/network?identifiers=EFL1%0dRPS24&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=EFL1%20RPS24,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
GP1BB,TUBB1,True,True,True,0.484,textmining=0.336; coexpression=0.206; experimental=0.099,https://string-db.org/cgi/network?identifiers=GP1BB%0dTUBB1&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=GP1BB%20TUBB1,bone marrow,inconclusive (Detected in many),expressed (nTPM=8.0),discordant,Only StringDB reports evidence; the other source does not.
CEBPA,ETV6,True,True,True,0.719,textmining=0.714; experimental=0.051; coexpression=0.048,https://string-db.org/cgi/network?identifiers=CEBPA%0dETV6&species=9606,none,True,2,Protein-peptide; Proximity Label-MS,34189442,https://thebiogrid.org/search.php?search=CEBPA%20ETV6,bone marrow,inconclusive (Detected in many),expressed (broadly_detected),concordant_positive,Both StringDB and BioGRID report evidence of interaction.
RPL11,SBDS,True,True,True,0.902,experimental=0.678; textmining=0.639; coexpression=0.227,https://string-db.org/cgi/network?identifiers=RPL11%0dSBDS&species=9606,none,True,1,Affinity Capture-MS,35271311,https://thebiogrid.org/search.php?search=RPL11%20SBDS,bone marrow,expressed (broadly_detected),expressed (broadly_detected),concordant_positive,Both StringDB and BioGRID report evidence of interaction.
BRCA1,RPS7,True,True,False,,no_edge_in_string,https://string-db.org/cgi/network?identifiers=BRCA1%0dRPS7&species=9606,not_applicable,True,2,Affinity Capture-MS,25184681; 26831064,https://thebiogrid.org/search.php?search=BRCA1%20RPS7,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only BioGRID reports evidence; the other source does not.
ATR,LIG4,True,True,True,0.629,textmining=0.574; coexpression=0.114; experimental=0.097,https://string-db.org/cgi/network?identifiers=ATR%0dLIG4&species=9606,none,True,1,Protein-peptide,10608806,https://thebiogrid.org/search.php?search=ATR%20LIG4,bone marrow,inconclusive (Detected in many),expressed (broadly_detected),concordant_positive,Both StringDB and BioGRID report evidence of interaction.
RPL35A,SRP72,True,True,True,0.886,experimental=0.875; textmining=0.104; coexpression=0.062,https://string-db.org/cgi/network?identifiers=RPL35A%0dSRP72&species=9606,none,True,1,Affinity Capture-MS,35271311,https://thebiogrid.org/search.php?search=RPL35A%20SRP72,bone marrow,expressed (broadly_detected),expressed (broadly_detected),concordant_positive,Both StringDB and BioGRID report evidence of interaction.
DKC1,TP53,True,True,True,0.516,textmining=0.488; coexpression=0.093,https://string-db.org/cgi/network?identifiers=DKC1%0dTP53&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=DKC1%20TP53,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
CTC1,USB1,True,True,True,0.538,textmining=0.537; coexpression=0.043,https://string-db.org/cgi/network?identifiers=CTC1%0dUSB1&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=CTC1%20USB1,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
CBL,TP53,True,True,False,,no_edge_in_string,https://string-db.org/cgi/network?identifiers=CBL%0dTP53&species=9606,not_applicable,True,2,Affinity Capture-Western,35931247,https://thebiogrid.org/search.php?search=CBL%20TP53,bone marrow,expressed (broadly_detected),expressed (broadly_detected),discordant,Only BioGRID reports evidence; the other source does not.
RPS27,RPS7,True,True,True,0.999,experimental=0.990; coexpression=0.955; curated_database=0.900; textmining=0.499,https://string-db.org/cgi/network?identifiers=RPS27%0dRPS7&species=9606,high,True,12,Co-fractionation; Cross-Linking-MS (XL-MS); Proximity Label-MS,22863883; 26344197; 28524877; 30021884; 31839598; 34349018; 34535262; 35235311; 35831314; 37071682; 38334954,https://thebiogrid.org/search.php?search=RPS27%20RPS7,bone marrow,expressed (broadly_detected),expressed (broadly_detected),concordant_positive,"Both StringDB and BioGRID report evidence of interaction. CAVEAT: StringDB's score here is driven mainly by its curated-database channel, which can itself be sourced from BioGRID/IntAct/KEGG/etc. -- this agreement may not be fully independent corroboration."
GATA1,RPL35A,True,True,True,0.406,textmining=0.406,https://string-db.org/cgi/network?identifiers=GATA1%0dRPL35A&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=GATA1%20RPL35A,bone marrow,expressed (nTPM=55.7),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
TERT,THPO,True,True,True,0.409,textmining=0.405; coexpression=0.049,https://string-db.org/cgi/network?identifiers=TERT%0dTHPO&species=9606,none,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=TERT%20THPO,bone marrow,not_detected,inconclusive (Detected in many),discordant,"Only StringDB reports evidence; the other source does not. CAVEAT: interaction evidence exists, but TERT is not detected in 'bone marrow' per HPA -- biological relevance in this tissue is questionable."
BRIP1,TP53,True,True,True,0.645,textmining=0.418; curated_database=0.400; coexpression=0.067,https://string-db.org/cgi/network?identifiers=BRIP1%0dTP53&species=9606,low,False,,no_records_in_biogrid,no_records_in_biogrid,https://thebiogrid.org/search.php?search=BRIP1%20TP53,bone marrow,expressed (nTPM=2.6),expressed (broadly_detected),discordant,Only StringDB reports evidence; the other source does not.
